type,properties
NAME,reference_name
NAME,reference_org
NAME,reference_time_fetch
NAME,reference_url_data
NAME,reference_time_modification
NAME,reference_url_info
COUNTRY,reference_name
COUNTRY,reference_org
COUNTRY,reference_time_fetch
COUNTRY,reference_url_data
COUNTRY,reference_time_modification
COUNTRY,reference_url_info
COUNTRY,registry
CATEGORIZED,reference_name
CATEGORIZED,reference_org
CATEGORIZED,reference_time_fetch
CATEGORIZED,reference_url_data
CATEGORIZED,reference_time_modification
CATEGORIZED,reference_url_info
CATEGORIZED,layer
CATEGORIZED,moas
RANK,reference_name
RANK,reference_org
RANK,reference_time_fetch
RANK,reference_url_data
RANK,reference_time_modification
RANK,reference_url_info
RANK,cc
RANK,rank
RANK,cumulative
RANK,percent
RANK,country
RANK,hege
RANK,af
RANK,longitude
RANK,latitude
POPULATION,reference_name
POPULATION,reference_org
POPULATION,reference_time_fetch
POPULATION,reference_url_data
POPULATION,reference_time_modification
POPULATION,reference_url_info
POPULATION,cc
POPULATION,rank
POPULATION,cumulative
POPULATION,percent
POPULATION,samples
POPULATION,value
ORIGINATE,reference_name
ORIGINATE,reference_org
ORIGINATE,reference_time_fetch
ORIGINATE,reference_url_data
ORIGINATE,reference_time_modification
ORIGINATE,reference_url_info
ORIGINATE,count
ORIGINATE,af
PEERS_WITH,reference_name
PEERS_WITH,reference_org
PEERS_WITH,reference_time_fetch
PEERS_WITH,reference_url_data
PEERS_WITH,reference_time_modification
PEERS_WITH,reference_url_info
PEERS_WITH,af
PEERS_WITH,rel
RESERVED,reference_name
RESERVED,reference_org
RESERVED,reference_time_fetch
RESERVED,reference_url_data
RESERVED,reference_time_modification
RESERVED,reference_url_info
RESERVED,registry
ASSIGNED,reference_name
ASSIGNED,reference_org
ASSIGNED,reference_time_fetch
ASSIGNED,reference_url_data
ASSIGNED,reference_time_modification
ASSIGNED,reference_url_info
ASSIGNED,registry
AVAILABLE,reference_name
AVAILABLE,reference_org
AVAILABLE,reference_time_fetch
AVAILABLE,reference_url_data
AVAILABLE,reference_time_modification
AVAILABLE,reference_url_info
AVAILABLE,registry
ROUTE_ORIGIN_AUTHORIZATION,reference_name
ROUTE_ORIGIN_AUTHORIZATION,reference_org
ROUTE_ORIGIN_AUTHORIZATION,reference_time_fetch
ROUTE_ORIGIN_AUTHORIZATION,reference_url_data
ROUTE_ORIGIN_AUTHORIZATION,reference_time_modification
ROUTE_ORIGIN_AUTHORIZATION,reference_url_info
ROUTE_ORIGIN_AUTHORIZATION,notAfter
ROUTE_ORIGIN_AUTHORIZATION,maxLength
ROUTE_ORIGIN_AUTHORIZATION,notBefore
DEPENDS_ON,reference_name
DEPENDS_ON,reference_org
DEPENDS_ON,reference_time_fetch
DEPENDS_ON,reference_url_data
DEPENDS_ON,reference_time_modification
DEPENDS_ON,reference_url_info
DEPENDS_ON,af
DEPENDS_ON,hege
PART_OF,reference_name
PART_OF,reference_org
PART_OF,reference_time_fetch
PART_OF,reference_url_data
PART_OF,reference_time_modification
PART_OF,reference_url_info
WEBSITE,reference_name
WEBSITE,reference_org
WEBSITE,reference_time_fetch
WEBSITE,reference_url_data
WEBSITE,reference_time_modification
WEBSITE,reference_url_info
EXTERNAL_ID,reference_name
EXTERNAL_ID,reference_org
EXTERNAL_ID,reference_time_fetch
EXTERNAL_ID,reference_url_data
EXTERNAL_ID,reference_time_modification
EXTERNAL_ID,reference_url_info
MANAGED_BY,reference_name
MANAGED_BY,reference_org
MANAGED_BY,reference_time_fetch
MANAGED_BY,reference_url_data
MANAGED_BY,reference_time_modification
MANAGED_BY,reference_url_info
LOCATED_IN,reference_name
LOCATED_IN,reference_org
LOCATED_IN,reference_time_fetch
LOCATED_IN,reference_url_data
LOCATED_IN,reference_time_modification
LOCATED_IN,reference_url_info
MEMBER_OF,reference_name
MEMBER_OF,reference_org
MEMBER_OF,reference_time_fetch
MEMBER_OF,reference_url_data
MEMBER_OF,reference_time_modification
MEMBER_OF,reference_url_info
RESOLVES_TO,reference_name
RESOLVES_TO,reference_org
RESOLVES_TO,reference_time_fetch
RESOLVES_TO,reference_url_data
RESOLVES_TO,reference_time_modification
RESOLVES_TO,reference_url_info
RESOLVES_TO,glue
RESOLVES_TO,ttl
SIBLING_OF,reference_name
SIBLING_OF,reference_org
SIBLING_OF,reference_time_fetch
SIBLING_OF,reference_url_data
SIBLING_OF,reference_time_modification
SIBLING_OF,reference_url_info
TARGET,reference_name
TARGET,reference_org
TARGET,reference_time_fetch
TARGET,reference_url_data
TARGET,reference_time_modification
TARGET,reference_url_info
PARENT,reference_name
PARENT,reference_org
PARENT,reference_time_fetch
PARENT,reference_url_data
PARENT,reference_time_modification
PARENT,reference_url_info
ALIAS_OF,reference_name
ALIAS_OF,reference_org
ALIAS_OF,reference_time_fetch
ALIAS_OF,reference_url_data
ALIAS_OF,reference_time_modification
ALIAS_OF,reference_url_info
QUERIED_FROM,reference_name
QUERIED_FROM,reference_org
QUERIED_FROM,reference_time_fetch
QUERIED_FROM,reference_url_data
QUERIED_FROM,reference_time_modification
QUERIED_FROM,reference_url_info
QUERIED_FROM,value
